Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Homo Antecesor,0.88931942,Europa,west,Spain,savannah,918.52721,163.46103,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Sahelanthropus tchadensis,6.97690988,Africa,central,Republic of Chad,mixed,57.17336,88.06705,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Heidelbergensis,0.54924434,Europa,central,Germany,cold forest,1398.55866,183.24676,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,2.02021068,Africa,south,South Africa,mixed,265.01716,112.93147,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Sapiens,0.72158711,Africa,oriental,Kenya,savannah,1354.70425,172.92171,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Erectus,1.94563938,Asia ,west,Indonesia,savannah,923.34768,169.35699,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.78069446,Africa,oriental,Kenya,forest-savanna,443.57109,115.59979,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rudolfensis,2.48986596,Africa,oriental,Kenya,savannah,712.73633,129.44728,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Sediba,1.80952011,Africa,south,South Africa,mixed,274.2421,114.80929,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Heidelbergensis,0.400069,Europa,central,Germany,cold forest,1397.07423,170.35412,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Sapiens,0.147559,Africa,oriental,Kenya,savannah,1198.42822,176.13742,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Paranthropus Aethiopicus,2.4894671,Africa,oriental,Kenya,forest-savanna,576.04014,101.71189,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.30025175,Africa,oriental,Kenya,savannah,922.03432,167.37665,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Habilis,3.00696016,Africa,oriental,Ethiopia,savannah,622.85493,124.75426,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Sediba,2.15439548,Africa,south,South Africa,mixed,393.34262,111.19537,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Erectus,1.2625808,Asia ,west,Indonesia,savannah,1028.38728,164.65243,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,4.03408519,Africa,oriental,Ethiopia,mixed,229.93413,106.97913,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Heidelbergensis,0.72140188,Europa,central,Germany,cold forest,1392.30704,179.55407,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Habilis,2.64296,Africa,oriental,Ethiopia,savannah,681.71394,125.5332,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Erectus,1.14330374,Asia ,west,Indonesia,savannah,1091.1798,151.95824,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Orrorin tugenencin,6.55169671,Africa,oriental,Kenya,forest,167.20091,115.28961,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Erectus,1.68459847,Asia ,west,Indonesia,savannah,1036.07955,151.83862,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,2.25157509,Asia ,west,Georgia,savannah,808.23541,152.40623,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.15683926,Europa,central,Germany,cold forest,1212.20462,153.60336,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Sahelanthropus tchadensis,6.89105528,Africa,central,Republic of Chad,mixed,107.37384,89.57851,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Orrorin tugenencin,6.29899076,Africa,oriental,Kenya,forest,218.56254,118.81878,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Garhi,3.07577945,Africa,oriental,Ethiopia,mixed,323.9415,121.40818,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Erectus,1.65399111,Asia ,west,Indonesia,savannah,1108.54634,161.83799,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.1750867,Europa,central,Germany,cold forest,1224.30303,164.45881,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rudolfensis,2.56155553,Africa,oriental,Kenya,savannah,734.68489,131.67337,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Naledi,0.53621697,Africa,south,South Africa,jungle,449.90424,133.59965,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Sediba,2.51034652,Africa,south,South Africa,mixed,517.01205,111.44054,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Rudolfensis,3.1466675,Africa,oriental,Kenya,savannah,724.10417,130.62889,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Ergaster,1.41390162,Africa,oriental,Kenya,savannah,866.84374,155.92144,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,2.13167575,Africa,south,South Africa,jungle,553.19338,111.77338,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Ardipithecus ramidus / kabadda,4.5359204,Africa,oriental,Ethiopia,mixed,218.09851,111.77619,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Anamensis,3.91460427,Africa,oriental,Kenya,forest-gallery,307.00902,114.13868,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Erectus,1.80938199,Asia ,west,Indonesia,savannah,1006.99917,150.3978,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Antecesor,1.37591959,Europa,west,Spain,savannah,1029.76602,164.54825,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Rudolfensis,2.5983972,Africa,oriental,Kenya,savannah,737.00443,130.33145,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Sapiens,0.99635198,Africa,oriental,Kenya,savannah,1312.01347,170.93312,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Ergaster,2.0806855,Africa,oriental,Kenya,savannah,819.06081,150.81129,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Africanus,4.12446687,Africa,south,South Africa,forest-gallery,438.68722,101.73852,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Heidelbergensis,1.00936445,Europa,central,Germany,cold forest,1440.51559,179.22013,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4.67238784,Africa,oriental,Ethiopia,mixed,415.46876,115.57182,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Paranthropus Aethiopicus,3.05050842,Africa,oriental,Kenya,forest-savanna,330.06935,116.29099,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Garhi,3.09915663,Africa,oriental,Ethiopia,mixed,238.44807,114.86959,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,3.85688853,Africa,oriental,Ethiopia,mixed,331.1418,103.66582,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Rodhesiensis,0.81136168,Africa,oriental,Ethiopia,savannah,1133.7349,156.23037,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Bahrelghazali,3.56526889,Africa,central,Republic of Chad,mixed,153.28729,114.79563,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Sahelanthropus tchadensis,7.30838182,Africa,central,Republic of Chad,mixed,272.36563,85.97934,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Afarensis,3.60677004,Africa,oriental,Kenya,mixed,305.82347,125.52356,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Ardipithecus ramidus / kabadda,4.22716705,Africa,oriental,Ethiopia,mixed,239.13047,113.62621,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Heidelbergensis,0.95176443,Europa,central,Germany,cold forest,1400.63052,176.05092,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Georgicus,1.86908116,Asia ,west,Georgia,savannah,737.43116,149.12202,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Orrorin tugenencin,5.72820818,Africa,oriental,Kenya,forest,172.13572,118.84209,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Bahrelghazali,4.1578964,Africa,central,Republic of Chad,mixed,376.0349,126.70436,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Sediba,1.71717208,Africa,south,South Africa,mixed,267.85939,112.22241,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,3.94696091,Africa,oriental,Ethiopia,mixed,250.59959,109.15646,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Heidelbergensis,0.69525092,Europa,central,Germany,cold forest,1192.85831,180.2887,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Erectus,1.94164652,Asia ,west,Indonesia,savannah,945.23966,150.896,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.04119665,Europa,central,Germany,cold forest,1144.46535,158.82165,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Robustus,1.62945168,Africa,south,South Africa,jungle,635.37042,112.60894,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rudolfensis,2.41924293,Africa,oriental,Kenya,savannah,593.32016,125.22996,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
"Homo Neanderthalensis
",0.83310478,Europa,central,Germany,cold forest,1035.37935,150.73809,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Georgicus,2.06377116,Asia ,west,Georgia,savannah,586.48949,143.5606,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.76381973,Europa,central,Germany,cold forest,1117.65961,153.27358,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Sahelanthropus tchadensis,6.79979382,Africa,central,Republic of Chad,mixed,89.16382,92.53992,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Rodhesiensis,1.07137858,Africa,oriental,Ethiopia,savannah,993.29282,148.03316,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Garhi,2.5659453,Africa,oriental,Ethiopia,mixed,507.06178,120.11091,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Georgicus,2.09902124,Asia ,west,Georgia,savannah,781.48245,152.89348,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,3.08873315,Africa,oriental,Kenya,savannah,650.75844,127.14813,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Ergaster,1.77381071,Africa,oriental,Kenya,savannah,823.0577,169.18534,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.83109358,Europa,central,Germany,cold forest,1080.21697,167.06169,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Georgicus,2.00933436,Asia ,west,Georgia,savannah,661.47498,144.27274,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Sapiens,0.77041862,Africa,oriental,Kenya,savannah,1077.0159,168.31876,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
"Homo Neanderthalensis
",0.27061415,Europa,central,Germany,cold forest,979.13826,167.08687,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Sahelanthropus tchadensis,7.11603166,Africa,central,Republic of Chad,mixed,101.76154,94.78625,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Anamensis,4.60273589,Africa,oriental,Kenya,forest-gallery,280.52756,115.87054,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Heidelbergensis,0.48326537,Europa,central,Germany,cold forest,1386.10407,167.31804,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Garhi,2.50306191,Africa,oriental,Ethiopia,mixed,397.99215,113.88069,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
hominino Orrorin tugenencin,6.12105432,Africa,oriental,Kenya,forest,12.82134,129.86889,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Erectus,1.98525544,Asia ,west,Indonesia,savannah,1111.37611,164.05546,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,0.4401551,Africa,south,South Africa,jungle,254.57364,133.6644,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,0.29748518,Africa,south,South Africa,jungle,205.48271,133.21674,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,2.03661146,Asia ,west,Georgia,savannah,834.64595,157.32541,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Sahelanthropus tchadensis,7.05727867,Africa,central,Republic of Chad,mixed,94.65858,96.03259,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Robustus,1.72272971,Africa,south,South Africa,jungle,368.01445,113.06508,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,2.03671337,Africa,south,South Africa,jungle,630.98944,129.72493,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Boisei,2.24833245,Africa,oriental,Ethiopia,forest,629.37598,108.53608,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Anamensis,4.48602461,Africa,oriental,Kenya,forest-gallery,452.67981,117.90167,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Antecesor,0.80471456,Europa,west,Spain,savannah,1103.16416,170.41577,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Aethiopicus,2.59166134,Africa,oriental,Kenya,forest-savanna,383.33649,101.4442,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Georgicus,1.75684435,Asia ,west,Georgia,savannah,602.88934,156.29579,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Afarensis,4.59239394,Africa,oriental,Kenya,mixed,403.44449,125.75224,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Erectus,1.53730664,Asia ,west,Indonesia,savannah,915.24344,154.51525,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,2.46242862,Africa,south,South Africa,jungle,543.64246,123.30118,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Sahelanthropus tchadensis,6.7805283,Africa,central,Republic of Chad,mixed,61.97762,95.61776,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Antecesor,1.55882303,Europa,west,Spain,savannah,941.68057,166.73231,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Sapiens,0.63950608,Africa,oriental,Kenya,savannah,1252.77207,167.76358,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Bahrelghazali,3.60595006,Africa,central,Republic of Chad,mixed,157.43463,117.23283,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Erectus,1.74062492,Asia ,west,Indonesia,savannah,927.2561,155.72668,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,1.74634188,Africa,south,South Africa,mixed,420.91374,113.00345,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Naledi,0.03116744,Africa,south,South Africa,jungle,487.14169,127.92068,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
"Homo Neanderthalensis
",0.88571217,Europa,central,Germany,cold forest,1239.55735,156.03274,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Erectus,1.94370315,Asia ,west,Indonesia,savannah,1123.25612,166.41319,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,2.45242766,Africa,south,South Africa,mixed,336.54485,113.84876,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Ergaster,1.7575625,Africa,oriental,Kenya,savannah,739.82498,165.98751,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Afarensis,4.42725684,Africa,oriental,Kenya,mixed,329.3671,133.6287,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Paranthropus Boisei,2.02884355,Africa,oriental,Ethiopia,forest,574.51115,119.82381,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Sapiens,0.33884945,Africa,oriental,Kenya,savannah,1342.54246,177.07602,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Africanus,3.98497688,Africa,south,South Africa,forest-gallery,531.81644,103.5868,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Paranthropus Robustus,1.84304867,Africa,south,South Africa,jungle,412.87719,129.8278,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Floresiensis,0.70993573,Asia ,oriental,Indonesia,peninsular,289.31487,107.63929,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rudolfensis,2.72653141,Africa,oriental,Kenya,savannah,791.47255,127.43506,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Heidelbergensis,0.89667782,Europa,central,Germany,cold forest,1323.14097,180.57926,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Heidelbergensis,0.73301691,Europa,central,Germany,cold forest,1427.36493,174.92802,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Africanus,4.18951025,Africa,south,South Africa,forest-gallery,675.34265,117.55576,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
"Homo Neanderthalensis
",0.21281762,Europa,central,Germany,cold forest,1105.49181,155.08824,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Africanus,3.50831091,Africa,south,South Africa,forest-gallery,570.47889,106.86628,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
